instance_id,task_id,task_name,task_version,created_at,initialized_at,started_at,completed_at,predicted,actual,procrastination_score,proactive_score,is_completed,is_deleted,cancelled_at,status,duration_minutes,relief_score,cognitive_load,emotional_load,environmental_effect,skills_improved,behavioral_deviation,net_relief,delay_minutes
i1763738446,t1763738425,Task aversion project,1,2025-11-21 09:20,2025-11-21 09:20,2025-11-21 19:35,2025-11-22 08:34,"{""time_estimate_minutes"": ""180.0"", ""expected_relief"": 60.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 60.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 50, ""time_actual_minutes"": 90, ""notes"": ""Basic architecture working. needs refinement""}",3.417,0.0,True,False,,completed,,,,,,,,,
i1763775383,t1763775380,completion test,1,2025-11-21 19:36,2025-11-21 19:36,2025-11-21 19:40,2025-11-22 08:24,"{""time_estimate_minutes"": ""0"", ""expected_relief"": 80.0, ""expected_cognitive_load"": 40.0, ""expected_emotional_load"": 70.0}","{""actual_relief"": 80.0, ""actual_cognitive"": 40.0, ""actual_emotional"": 70.0, ""completion_percent"": 100, ""time_actual_minutes"": 50, ""notes"": """"}",4.0,0.0,True,False,,completed,,,,,,,,,
i1763821183,t1763821179,f,1,2025-11-22 08:19,2025-11-22 08:19,,2025-11-22 15:24,"{""time_estimate_minutes"": ""0"", ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 0, ""notes"": ""delete this""}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763821397,t1763821179,f,1,2025-11-22 08:23,2025-11-22 08:23,,2025-11-22 15:24,"{""time_estimate_minutes"": ""0"", ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 0, ""notes"": ""delete this""}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763821685,t1763821681,fix initialization page,1,2025-11-22 08:28,2025-11-22 08:28,,2025-11-22 08:34,"{""time_estimate_minutes"": ""50"", ""expected_relief"": 40.0, ""expected_cognitive_load"": 20.0, ""expected_emotional_load"": 20.0}","{""actual_relief"": 40.0, ""actual_cognitive"": 20.0, ""actual_emotional"": 20.0, ""completion_percent"": 100, ""time_actual_minutes"": 10, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763821793,t1763821681,fix initialization page,1,2025-11-22 08:29,2025-11-22 08:29,,2025-11-22 15:25,"{""time_estimate_minutes"": ""50"", ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 0, ""notes"": ""already filled out""}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763821881,t1763821681,fix initialization page,1,2025-11-22 08:31,2025-11-22 08:31,,2025-11-22 15:25,"{""time_estimate_minutes"": ""50"", ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 0, ""notes"": ""already filled out""}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763821996,t1763821681,fix initialization page,1,2025-11-22 08:33,2025-11-22 08:33,,2025-11-22 15:25,"{""time_estimate_minutes"": ""50"", ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 0, ""notes"": ""already filled out""}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763822434,t1763822424,example,1,2025-11-22 08:40,2025-11-22 08:40,,2025-11-22 08:41,"{""time_estimate_minutes"": ""5"", ""expected_relief"": 50.0, ""expected_cognitive_load"": 50.0, ""expected_emotional_load"": 50.0}","{""actual_relief"": 50.0, ""actual_cognitive"": 50.0, ""actual_emotional"": 50.0, ""completion_percent"": 100, ""time_actual_minutes"": 1, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
i1763843600,t1763843570,Coursera,1,2025-11-22 14:33,2025-11-22 14:33,,2025-11-22 15:24,"{""time_estimate_minutes"": ""60"", ""expected_relief"": 60.0, ""expected_cognitive_load"": 30.0, ""expected_emotional_load"": 20.0}","{""actual_relief"": 60.0, ""actual_cognitive"": 30.0, ""actual_emotional"": 20.0, ""completion_percent"": 80, ""time_actual_minutes"": 50, ""notes"": """"}",0.0,10.0,True,False,,completed,,,,,,,,,
